new_colonynumber,new_pH,SGD_number,site,salinity,date,light_dark,P_R,umol.cm2.hr,umol.cm2.hr_uncorr
8,8.052272677957419,0.5,Varari,36.3,6/22/23,DARK,R,7.832845350552617e-4,9.030550684513472e-4
13,7.9835816631813765,1,Cabral,36.1,6/10/23,DARK,R,0.004639349281025877,0.004730561521742584
14,7.9835816631813765,1,Cabral,36.1,6/10/23,DARK,R,0.003527461239322275,0.0036079874305825466
15,7.963967371080543,1,Cabral,36.2,6/11/23,DARK,R,0.0035263408684846767,0.003706445496611039
16,7.963967371080543,1,Cabral,36.2,6/11/23,DARK,R,0.0035595499592842523,0.0036999863326039363
18,7.982119028297145,1,Cabral,36.1,6/12/23,DARK,R,0.0019404350194487587,0.0022517510845067863
17,7.982119028297145,1,Cabral,36.1,6/12/23,DARK,R,0.002125806223852669,0.002767893958136261
19,7.9902200167762345,1,Cabral,36.7,6/13/23,DARK,R,0,0.003242600506069574
1,7.987516818068849,1,Varari,37,6/17/23,DARK,R,0.0036387582385450285,0.003754724333554245
2,7.987516818068849,1,Varari,37,6/17/23,DARK,R,0.002974812161039455,0.0033855735630305556
3,7.987516818068849,1,Varari,37,6/17/23,DARK,R,0.003018037643041209,0.003264872891791826
4,8.015414786189668,1,Varari,36.1,6/18/23,DARK,R,0.004459259972887191,0.004521534944238246
5,8.0019728655792,1,Varari,36,6/21/23,DARK,R,0.003235958682300172,0.0035561477934027536
6,8.0019728655792,1,Varari,36,6/21/23,DARK,R,0.0016593030485578257,0.002393468457799724
7,8.074193562764314,1,Varari,36,6/22/23,DARK,R,0.0022619500571955282,0.002691305590574386
8,8.074193562764314,1,Varari,36,6/22/23,DARK,R,0,0
13,7.9983715794601515,2,Cabral,35.9,6/10/23,DARK,R,0.0039054944622294416,0.004062882605627999
14,7.9983715794601515,2,Cabral,35.9,6/10/23,DARK,R,0.004645196725923941,0.0049017480557568835
15,7.96548092133451,2,Cabral,35.9,6/11/23,DARK,R,0,0
16,7.96548092133451,2,Cabral,35.9,6/11/23,DARK,R,0.004576805799761722,0.004675792942566007
18,7.991501771807972,2,Cabral,35.8,6/12/23,DARK,R,0.0034177479734627493,0.0035325878956548704
17,7.991501771807972,2,Cabral,35.8,6/12/23,DARK,R,0.003504641833637037,0.003611688890340022
19,7.984471028996761,2,Cabral,36.4,6/13/23,DARK,R,0,0.003467826238006178
1,7.9938993004212815,2,Varari,36.6,6/17/23,DARK,R,0.004004640250136832,0.004515109897943172
2,7.9938993004212815,2,Varari,36.6,6/17/23,DARK,R,0.003782288749544126,0.004106911306104867
3,7.9938993004212815,2,Varari,36.6,6/17/23,DARK,R,0.0026049608934602033,0.0029046043250184755
4,7.98751158175539,2,Varari,36,6/18/23,DARK,R,0.005185472556507633,0.005357899843645548
5,8.019957012670806,2,Varari,35.9,6/21/23,DARK,R,0.003108780184961243,0.0037755796658330404
6,8.019957012670806,2,Varari,35.9,6/21/23,DARK,R,0.002674869633637451,0.003680561036013758
7,8.014719841172575,2,Varari,36,6/22/23,DARK,R,0.002635304700084599,0.0030046943737107876
8,8.014719841172575,2,Varari,36,6/22/23,DARK,R,0.0019629628507001435,0.0022977870842541734
13,7.998366250418952,4,Cabral,35.2,6/10/23,DARK,R,0.004851061700599466,0.00519024402013082
14,7.998366250418952,4,Cabral,35.2,6/10/23,DARK,R,0.005256985332615979,0.005491008976020228
15,7.995066861576932,4,Cabral,35.1,6/11/23,DARK,R,0.003151618354413595,0.0032542015153925684
