new_colonynumber,pH,sample_ID,SGD_number,site,salinity,date,light_dark,P_R,umol.cm2.hr,umol.cm2.hr_uncorr,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL
15,8.05,Cabral_Col7_Dil7_Light,1,Cabral,36.2,6/11/23,LIGHT,NP,0.5491057578546766,0.5320764049525086,0.05,9.41,0.46,10.63
16,8.05,Cabral_Col8_Dil7_Light,1,Cabral,36.2,6/11/23,LIGHT,NP,0.35265689712324494,0.3393782804291435,0.05,9.41,0.46,10.63
18,8.08,Cabral_Col10_Dil7_Light,1,Cabral,36.1,6/12/23,LIGHT,NP,0.3150401602841942,0.28722619613453676,0.06,9.83,0.31,0.96
17,8.08,Cabral_Col9_Dil7_Light,1,Cabral,36.1,6/12/23,LIGHT,NP,0.4057342979118644,0.34836814034524355,0.06,9.83,0.31,0.96
1,8.06,Varari_Col1_Dil7_Light,1,Varari,37,6/17/23,LIGHT,NP,0.4176926441629063,0.4017719510808909,0.07,10.06,2.58,1.99
2,8.06,Varari_Col2_Dil7_Light,1,Varari,37,6/17/23,LIGHT,NP,0.6171915788349578,0.560799184151564,0.07,10.06,2.58,1.99
3,8.06,Varari_Col3_Dil7_Light,1,Varari,37,6/17/23,LIGHT,NP,0.338971419467032,0.30508403137662404,0.07,10.06,2.58,1.99
4,8.1,Varari_Col4_Dil7_Light,1,Varari,36.1,6/18/23,LIGHT,NP,0.3033783785052028,0.2888428013209431,0.04,8.07,1.08,0.48
5,8.09,Varari_Col5_Dil7_Light,1,Varari,36,6/21/23,LIGHT,NP,0.34046537698665713,0.30484133389616097,0.2,5.55,3.05,15.29
6,8.09,Varari_Col6_Dil7_Light,1,Varari,36,6/21/23,LIGHT,NP,0.4883665094092231,0.40668371457261704,0.2,5.55,3.05,15.29
7,8.15,Varari_Col7_Dil7_Light,1,Varari,36,6/22/23,LIGHT,NP,0.43822504760680697,0.4015488115214408,0.08,6.75,0.86,0.98
8,8.15,Varari_Col8_Dil7_Light,1,Varari,36,6/22/23,LIGHT,NP,Inf,Inf,0.08,6.75,0.86,0.98
13,8.07,Cabral_Col5_Dil8_Light,2,Cabral,35.9,6/10/23,LIGHT,NP,0.25907097585605804,0.2407899375342556,0.09,15.42,0.24,0.88
14,8.07,Cabral_Col6_Dil8_Light,2,Cabral,35.9,6/10/23,LIGHT,NP,0.3593411357224547,0.32954203628788414,0.09,15.42,0.24,0.88
